,PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARDS,TEAM,POSITION,CAPS,CLUB/PROVINCE,AGE,FORWARD/BACK
94,Jean-Baptiste Gros,135,0,0,0,0,0,19,6,0,9,3,0,0,1,27,0,2,0,0,1,1,2,1,1,0,0,0,0,France,Prop,14, Toulon,22,Forward
95,Joe Launchbury,14,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,England,Lock,69,Wasps,30,Forward
96,Joe Marchant,310,0,0,0,0,0,209,23,22,31,10,2,6,1,28,2,0,2,0,4,3,2,1,0,0,0,0,0,England,Centre,7,Harlequins,25,Back
97,Joe Marler,69,0,0,0,0,0,23,6,0,7,1,0,0,0,7,2,0,0,0,1,0,3,0,1,0,0,0,0,England,Prop,74,Harlequins,31,Forward
98,Joey Carbery,155,1,2,5,1,0,80,12,318,81,70,1,3,0,17,2,0,0,0,0,2,1,0,0,0,0,0,0,Ireland,Fly-half,27,Munster,26,Back
99,Johnny McNicholl,122,0,0,0,0,0,115,18,263,32,17,3,3,2,4,1,0,1,0,2,4,2,0,0,0,0,0,0,Wales,Fullback,8, Scarlets,31,Back
100,Johnny Sexton,250,0,2,13,3,0,155,27,275,142,120,5,7,0,25,2,1,2,1,2,7,3,0,0,0,0,0,0,Ireland,Fly-half,101,Leinster,36,Back
101,Jonathan Danty,296,1,1,0,0,0,227,28,66,41,13,0,7,3,30,5,1,5,0,6,7,0,0,0,0,0,0,0,France,Centre,11, La Rochelle,29,Back
102,Jonathan Davies,94,0,0,0,0,0,41,6,1,13,7,0,0,0,7,1,0,1,1,1,0,0,0,0,0,0,0,0,Wales,Centre,93, Scarlets,33,Back
103,Jonny Gray,205,0,0,0,0,0,81,21,0,32,11,0,3,1,48,3,1,0,0,2,2,2,0,0,16,0,0,0,Scotland,Lock,64, Exeter Chiefs,27,Forward
104,Josh Adams,305,2,0,0,0,0,261,27,285,41,18,4,14,2,23,6,1,0,2,4,4,7,1,0,0,0,1,0,Wales,Wing,35, Cardiff,26,Back
105,Josh Bayliss,18,0,0,0,0,0,28,4,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Scotland,Back row,2, Bath,24,Forward
106,Josh Navidi,156,0,0,0,0,0,60,12,0,17,5,0,1,0,20,3,0,3,0,0,0,0,0,0,0,0,0,0,Wales,Back row,28, Cardiff,31,Forward
107,Josh van der Flier,400,2,1,0,0,0,267,44,0,75,31,0,5,2,58,5,2,1,0,5,4,3,0,0,0,0,0,0,Ireland,Back row,35,Leinster,28,Forward
108,Juan Ignacio Brex,395,0,0,0,0,0,210,29,151,56,29,2,5,1,57,12,0,0,1,2,2,2,0,0,0,0,0,0,Italy,Centre,8, Benetton,29,Back
109,Julien Marchand,268,0,1,0,0,0,134,37,0,47,12,2,3,1,20,2,0,3,0,3,2,2,1,0,0,0,0,0,France,Hooker,16, Toulouse,26,Back
110,Kieran Hardy,96,1,0,0,0,0,64,13,236,141,128,0,1,1,11,1,1,0,1,2,4,0,0,0,0,0,0,0,Wales,Scrum-half,8, Scarlets,26,Back
111,Kieran Treadwell,37,1,0,0,0,0,27,5,0,7,2,0,1,1,6,2,0,0,0,1,1,0,0,0,3,0,0,0,Ireland,Lock,3,Ulster,26,Forward
112,Kyle Sinckler,240,1,0,0,0,0,105,29,0,48,19,0,0,0,34,2,1,1,2,1,0,6,1,1,0,0,0,0,England,Prop,47,Bristol Bears,28,Forward
113,Kyle Steyn,160,0,1,0,0,0,99,16,99,20,5,1,2,2,8,8,3,0,2,5,4,2,1,0,0,0,0,0,Scotland,Wing,3, Glasgow Warriors,28,Back
114,Leon Brown,73,0,0,0,0,0,31,8,0,9,2,1,0,0,12,0,2,0,0,0,1,2,1,1,0,0,0,0,Wales,Prop,16, Dragons,25,Forward
115,Leonardo Marin,251,0,0,0,0,0,92,13,208,39,27,1,3,0,27,6,0,0,0,5,2,1,0,0,0,0,0,0,Italy,Fly-half,0, Benetton,19,Back
116,Lewis Ludlam,63,0,0,0,0,0,57,8,0,9,1,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0,0,0,England,Back row,10,Northampton Saints,26,Forward
117,Liam Williams,290,0,0,0,0,0,383,47,412,60,17,4,3,2,10,3,0,1,0,6,4,1,0,0,0,0,1,0,Wales,Fullback,74, Scarlets,30,Back
118,Louis Rees-Zammit,255,0,0,0,0,0,222,24,384,29,7,1,10,2,13,7,1,1,0,5,4,0,0,0,0,0,0,0,Wales,Wing,12, Gloucester,21,Back
119,Luke Cowan-Dickie,115,0,0,0,0,0,76,15,35,17,2,0,3,0,10,2,1,2,0,2,0,3,1,0,0,0,1,0,England,Hooker,31,Exeter Chiefs,28,Back
120,Mack Hansen,320,1,1,0,0,0,329,37,271,54,24,7,5,2,18,2,2,1,2,6,3,1,0,0,0,0,0,0,Ireland,Wing,0,Connacht,23,Back
121,Magnus Bradbury,168,0,0,0,0,0,184,28,0,39,12,1,1,0,21,0,1,0,0,3,1,1,0,0,4,0,0,0,Scotland,Back row,14, Edinburgh,26,Forward
122,Manuel Zuliani,42,0,0,0,0,0,33,4,0,4,1,0,0,0,7,0,1,1,0,0,1,1,0,0,1,0,0,0,Italy,Back row,0, Benetton,21,Forward
123,Marco Fuser,78,0,0,0,0,0,19,6,0,10,5,1,1,0,17,0,2,0,0,0,1,1,1,0,3,0,0,0,Italy,Lock,36, Newcastle Falcons,30,Forward
124,Marco Zanon,219,0,0,0,0,0,138,22,44,28,7,1,4,0,31,7,0,1,1,2,1,1,0,0,0,0,0,0,Italy,Centre,7, Benetton,24,Back
125,Marcus Smith,383,2,1,5,17,0,412,40,980,166,129,3,10,0,29,6,0,0,2,1,3,1,0,0,0,0,0,0,England,Fly-half,5,Harlequins,22,Back
126,Mark Bennett,59,0,0,0,0,0,124,12,0,18,6,0,4,0,3,0,0,0,0,1,3,0,0,0,1,0,0,0,Scotland,Centre,22, Edinburgh,29,Back
127,Maro Itoje,400,1,0,0,0,0,153,37,0,57,21,2,1,2,39,11,3,6,6,4,5,7,1,0,23,0,0,0,England,Lock,51,Saracens,27,Forward
128,Matt Fagerson,235,0,0,0,0,0,173,32,0,39,8,1,7,0,36,1,0,4,0,2,1,1,0,0,5,1,0,0,Scotland,Back row,17, Glasgow Warriors,23,Forward
129,Matthis Lebel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Wing,1, Toulouse,22,Back
130,Max Malins,320,0,2,0,0,0,290,29,35,38,14,5,7,1,22,4,2,0,0,7,5,1,0,0,1,0,0,0,England,Fullback,10,Saracens,25,Back
131,Maxime Lucu,40,0,0,0,0,0,3,2,250,34,32,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,France,Scrum-half,2, Bordeaux,29,Back
132,Melvyn Jaminet,382,0,2,9,12,0,253,40,1265,51,13,2,9,1,5,1,0,0,0,7,3,1,0,0,2,0,0,0,France,Fullback,6, Perpignan,22,Back
133,Michael Lowry,80,2,1,0,0,0,114,13,0,18,5,0,3,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,Ireland,Fullback,0,Ulster,23,Back
134,Michele Lamaro,377,0,0,0,0,0,157,28,71,45,20,3,1,0,86,15,2,2,1,2,1,2,0,0,4,0,0,0,Italy,Back row,10, Benetton,23,Forward
135,Mohamed Haouas,65,0,0,0,0,0,7,2,0,4,2,0,0,0,8,1,1,0,0,0,1,0,0,0,0,0,0,0,France,Prop,13, Montpellier,27,Forward
136,Monty Ioane,400,0,0,0,0,0,501,51,81,66,23,9,21,0,23,7,7,0,1,6,2,2,0,0,1,0,0,0,Italy,Wing,9, Benetton,27,Back
137,Nic Dolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,England,Hooker,1,Leicester Tigers,22,Back
138,Niccolo Cannone,280,0,0,0,0,0,119,23,0,35,12,0,5,0,62,4,2,0,0,0,0,4,1,0,6,0,0,0,Italy,Lock,15, Benetton,23,Forward
139,Nick Haining,43,0,0,0,0,0,35,6,0,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Scotland,Back row,10, Edinburgh,31,Forward
140,Nick Isiekwe,204,0,0,0,0,0,57,13,0,23,10,0,1,1,25,3,0,0,0,2,1,3,0,0,16,0,0,0,England,Lock,3,Saracens,23,Forward
141,Nick Tompkins,261,1,0,0,0,0,140,25,147,59,38,4,3,0,39,9,2,1,1,0,2,2,1,0,0,0,0,0,Wales,Centre,16, Saracens,26,Back
142,Oli Kebble,19,0,0,0,0,0,20,3,0,4,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,Scotland,Prop,11, Glasgow Warriors,29,Forward
143,Ollie Chessum,33,0,0,0,0,0,27,3,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,England,Lock,0,Leicester Tigers,21,Forward
144,Owen Watkin,322,1,0,0,0,0,230,34,37,48,19,5,9,0,35,5,4,0,1,2,0,0,0,0,0,0,0,0,Wales,Centre,26, Ospreys,25,Back
145,Paolo Garbisi,397,0,1,4,6,0,200,27,1787,99,72,0,3,1,45,7,0,1,1,6,4,3,1,0,1,0,0,0,Italy,Fly-half,13, Montpellier,21,Back
146,Paul Willemse,292,1,0,0,0,0,82,17,0,23,6,0,1,1,47,8,6,2,0,2,1,3,0,0,5,1,0,0,France,Lock,19, Montpellier,29,Forward
147,Peato Mauvaka,132,0,0,0,0,0,54,7,0,8,3,2,1,1,10,0,0,1,0,1,1,2,0,0,0,0,0,0,France,Hooker,9, Toulouse,25,Back
148,Peter O'Mahony,202,1,0,0,0,0,74,15,0,31,16,0,0,0,21,3,0,2,0,2,1,0,0,0,9,0,0,0,Ireland,Back row,79,Munster,32,Forward
149,Pierre Bruno,65,0,1,0,0,0,56,6,51,9,5,2,3,0,5,1,0,0,1,0,1,2,0,0,0,0,0,0,Italy,Wing,1, Zebre Parma,25,Back
150,Pierre Schoeman,284,1,0,0,0,0,178,33,0,45,13,0,8,0,31,3,2,1,1,1,1,5,0,1,2,0,0,0,Scotland,Prop,4, Edinburgh,27,Forward
151,Pietro Ceccarelli,184,0,0,0,0,0,17,7,0,11,5,1,0,0,31,4,0,0,0,0,0,1,1,0,0,0,0,0,Italy,Prop,17, Brive,29,Forward
152,Rob Herring,56,0,0,0,0,0,69,8,0,13,5,0,1,0,7,1,0,0,0,1,2,1,0,0,0,0,0,0,Ireland,Hooker,23,Ulster,31,Back
153,Robbie Henshaw,122,0,1,0,0,0,125,22,15,31,10,2,2,1,13,3,0,0,2,2,1,2,0,0,0,0,0,0,Ireland,Centre,53,Leinster,28,Back
154,Romain Ntamack,400,0,4,1,0,0,67,14,1347,92,79,1,4,1,35,8,0,2,0,6,11,0,0,0,3,0,0,0,France,Fly-half,23, Toulouse,22,Back
155,Romain Taofifenua,108,0,0,0,0,0,37,11,0,18,7,0,2,0,14,2,2,0,1,0,2,0,0,0,4,0,0,0,France,Lock,31, Lyon,31,Forward
156,Ronan Kelleher,88,0,0,0,0,0,49,7,0,11,5,1,1,0,11,1,2,0,1,1,0,1,0,0,0,0,0,0,Ireland,Hooker,16,Leinster,24,Back
157,Rory Darge,258,1,0,0,0,0,172,35,0,46,12,0,8,1,43,3,3,5,2,3,3,0,0,0,2,0,0,0,Scotland,Back row,0, Glasgow Warriors,21,Forward
158,Rory Sutherland,69,0,0,0,0,0,17,3,0,3,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,Scotland,Prop,16, Worcester Warriors,29,Forward
159,Ross Moriarty,206,0,1,0,0,0,128,25,0,38,15,2,2,0,35,5,2,0,0,4,2,4,0,0,14,0,0,0,Wales,Back row,49, Cardiff,27,Forward
160,Ryan Baird,94,1,0,0,0,0,66,10,0,15,5,0,2,1,13,1,0,1,0,1,1,0,0,0,3,1,0,0,Ireland,Lock,6,Leinster,22,Forward
161,Ryan Elias,239,0,0,0,0,0,152,30,0,37,7,0,1,1,46,3,2,1,0,2,1,1,0,0,0,0,0,0,Wales,Hooker,23, Scarlets,27,Back
162,Sam Johnson,196,1,0,0,0,0,79,10,0,22,12,0,2,0,28,3,0,0,0,3,1,1,0,0,2,0,0,0,Scotland,Centre,21, Glasgow Warriors,28,Back
163,Sam Simmonds,299,0,0,0,0,0,254,39,0,44,8,3,6,1,51,4,0,1,1,1,2,1,0,1,0,0,0,0,England,Back row,9,Exeter Chiefs,27,Forward
164,Sam Skinner,282,0,0,0,0,0,90,16,0,25,10,1,3,0,41,2,1,4,0,0,1,3,0,0,13,2,0,0,Scotland,Lock,15, Exeter Chiefs,27,Forward
165,Sam Underhill,65,0,0,0,0,0,20,5,0,7,3,1,0,0,17,1,4,1,1,0,1,1,0,0,0,0,0,0,England,Back row,27,Bath,25,Forward
166,Seb Davies,125,0,0,0,0,0,65,14,0,21,9,2,3,0,18,3,3,0,0,1,0,1,0,0,8,0,0,0,Wales,Lock,13, Cardiff,25,Forward
167,Sebastian Negri,85,0,0,0,0,0,60,14,0,15,1,0,0,1,13,1,0,0,0,1,1,1,0,0,2,0,0,0,Italy,Back row,36, Benetton,27,Forward
168,Sione Tuipulotu,175,0,0,0,0,0,173,19,0,31,12,0,3,0,10,3,0,0,0,0,1,1,0,0,2,0,0,0,Scotland,Centre,1, Glasgow Warriors,24,Back
169,Stephen Varney,170,0,0,0,0,0,27,13,532,128,115,0,1,1,15,3,0,0,0,7,9,1,0,0,0,0,0,0,Italy,Scrum-half,9, Gloucester,20,Back
170,Stuart Hogg,400,1,1,1,0,0,656,56,1619,91,41,6,15,2,13,7,0,0,0,8,7,4,0,0,4,0,0,0,Scotland,Fullback,88, Exeter Chiefs,29,Back
171,Stuart McInally,149,0,0,0,0,0,68,14,0,21,8,1,0,0,17,4,0,1,0,0,1,0,0,0,0,0,0,0,Scotland,Hooker,43, Edinburgh,31,Back
172,Tadhg Beirne,381,0,0,0,0,0,204,45,45,78,34,2,1,1,38,2,1,5,0,5,6,5,1,0,22,2,0,0,Ireland,Lock,25,Munster,30,Forward
173,Tadhg Furlong,327,0,0,0,0,0,134,33,0,53,21,1,2,0,35,3,2,1,0,1,2,5,1,4,0,0,0,0,Ireland,Prop,52,Leinster,29,Forward
174,Taine Basham,215,1,0,0,0,0,169,30,0,40,11,1,3,2,46,9,2,1,2,2,2,5,1,0,0,0,0,0,Wales,Back row,7, Dragons,22,Forward
175,Taulupe Faletau,240,0,1,0,0,0,213,36,0,50,17,3,3,0,39,1,0,1,1,2,3,2,0,0,0,0,0,0,Wales,Back row,86, Bath,31,Forward
176,Thibaud Flament,77,0,0,0,0,0,33,8,0,9,1,0,0,0,20,3,0,0,0,0,0,2,0,0,1,0,0,0,France,Lock,3, Toulouse,24,Forward
177,Thomas Ramos,18,0,0,0,0,0,25,3,109,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Fullback,14, Toulouse,26,Back
178,Tiziano Pasquali,159,0,0,0,0,0,21,4,8,11,7,0,0,0,18,3,1,0,1,1,0,3,2,1,1,0,0,0,Italy,Prop,21, Benetton,27,Forward
179,Toa Halafihi,257,0,0,0,0,0,176,25,0,40,16,1,3,1,44,4,2,6,0,1,2,1,0,0,0,0,0,0,Italy,Back row,0, Benetton,28,Forward
180,Tom Curry,199,0,0,0,0,0,99,19,0,27,9,1,2,1,33,4,5,1,1,1,1,2,1,0,0,0,0,0,England,Back row,36,Sale Sharks,23,Forward
181,Tomas Francis,217,1,0,0,0,0,15,4,0,7,3,0,0,0,34,7,2,0,0,0,1,1,0,0,1,0,0,0,Wales,Prop,60, Ospreys,29,Forward
182,Tommaso Menoncello,57,1,0,0,0,0,21,2,0,2,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,Italy,Wing,0, Benetton /  F.I.R. Academy,19,Back
183,Tomos Williams,215,0,1,0,0,0,94,19,515,221,206,4,5,0,28,3,0,0,1,2,6,0,0,0,1,0,0,0,Wales,Scrum-half,29, Cardiff,27,Back
184,Uilisi Halaholo,46,0,0,0,0,0,25,6,0,13,7,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,Wales,Centre,9, Cardiff,31,Back
185,Uini Atonio,247,0,0,0,0,0,74,16,0,19,3,0,1,0,14,1,2,0,0,1,1,4,1,1,0,0,0,0,France,Prop,39, La Rochelle,31,Forward
186,Will Rowlands,329,0,0,0,0,0,217,42,0,48,7,1,0,2,49,1,1,4,1,2,2,4,0,0,10,4,0,0,Wales,Lock,13, Dragons,30,Forward
187,Will Stuart,160,0,0,0,0,0,74,15,0,16,1,0,0,0,25,3,0,1,0,1,0,5,0,2,0,0,0,0,England,Prop,15,Bath,25,Forward
188,WP Nel,144,0,0,0,0,0,18,5,0,8,3,0,0,0,22,3,0,0,0,0,0,6,0,4,0,0,0,0,Scotland,Prop,43, Edinburgh,35,Forward
189,Wyn Jones,208,0,0,0,0,0,66,16,0,26,12,3,0,0,36,1,0,1,0,0,3,4,0,2,0,0,0,0,Wales,Prop,38, Scarlets,29,Forward
190,Yoram Moefana,263,1,1,0,0,0,188,19,6,29,14,4,3,1,10,0,1,0,1,3,4,1,0,0,0,0,0,0,France,Centre,2, Bordeaux,21,Back
191,Zander Fagerson,256,0,0,0,0,0,108,24,0,25,1,0,3,0,36,0,1,0,0,1,0,7,0,2,0,0,0,0,Scotland,Prop,42, Glasgow Warriors,26,Forward
